"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-04-24","53","65","41"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-04-25","45","54","35"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-04-26","46","52","39"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-04-27","58","68","47"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-04-28","48","57","39"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-04-29","57","77","37"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-04-30","67","81","52"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-05-01","66","80","51"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-05-02","68","76","59"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-05-03","57","66","47"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-05-04","48","57","38"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-05-05","50","67","32"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-05-06","55","70","40"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-05-07","65","83","47"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-05-08","51","61","40"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-05-09","51","57","45"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-05-10","53","68","38"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-05-11","69","84","53"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-05-12","69","86","51"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-05-13","55","63","46"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-05-14","63","79","46"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-05-15","74","88","60"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-05-16","59","68","50"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-05-17","61","70","51"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-05-18","64","75","53"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-05-19","58","69","46"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-05-20","59","75","42"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-05-21","67","80","53"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-05-22","54","61","46"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-05-23","58","68","47"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-05-24","52","56","48"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-05-25","51","54","48"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-05-26","50","53","46"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-05-27","60","71","48"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-05-28","58","63","52"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-05-29","53","62","44"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-05-30","55","69","41"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-05-31","54","69","39"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-06-01","52","56","48"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-06-02","61","74","48"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-06-03","61","73","48"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-06-04","58","73","42"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-06-05","59","70","47"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-06-06","55","63","47"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-06-07","62","75","49"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-06-08","70","88","51"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-06-09",,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-06-10","59","69","49"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-06-11","56","71","40"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-06-12","56","73","39"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-06-13","63","77","48"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-06-14","65","73","56"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-06-15","76","88","63"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-06-16","72","86","58"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-06-17","73","83","63"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-06-18","65","67","62"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-06-19","70","81","58"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-06-20","59","72","45"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-06-21","63","77","48"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-06-22","66","75","57"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-06-23","69","83","54"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-06-24","66","82","49"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-06-25","67","75","59"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-06-26","64","74","53"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-06-27","63","76","50"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-06-28","63","76","50"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-06-29","66","75","56"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2004-06-30","68","82","53"
